emp_no,first_name,last_name,title,from_date,salary
442153,Abdelaziz,Coombs,Senior Staff,1996-11-11,60088
51639,Abdelaziz,Czap,Staff,1987-11-11,97345
105775,Abdelaziz,Fontan,Senior Staff,1986-01-05,70689
32180,Abdelaziz,Hofman,Staff,1985-04-24,58455
423237,Abdelaziz,Kakkar,Staff,1988-03-14,40000
452574,Abdelaziz,Kampfer,Engineer,1988-06-19,46011
206706,Abdelaziz,Klyachko,Engineer,1995-01-28,45418
287446,Abdelaziz,Krichel,Engineer,1999-06-25,40000
207440,Abdelaziz,Kropatsch,Staff,1992-12-30,40000
70311,Abdelaziz,Kugler,Staff,1987-02-16,40000
419504,Abdelaziz,Masamoto,Engineer,1989-06-26,49754
25308,Abdelaziz,Mayerwieser,Engineer,1987-09-03,40000
467620,Abdelaziz,Melichar,Senior Staff,1994-12-20,40000
252447,Abdelaziz,Morrey,Staff,1989-08-23,63781
270564,Abdelaziz,Pearson,Senior Staff,1988-02-06,40000
480096,Abdelaziz,Percebois,Senior Engineer,1987-08-30,58001
469365,Abdelaziz,Schiper,Senior Staff,1988-01-28,54997
98079,Abdelaziz,Stiles,Staff,1987-10-06,40000
451600,Abdelaziz,Thisen,Senior Engineer,1987-01-11,41508
281367,Abdelaziz,Toyoshima,Engineer,1990-04-07,40000
104092,Abdelaziz,Vitiello,Assistant Engineer,1998-12-27,48196
25225,Abdelaziz,Vrecion,Engineer,1996-02-21,63803
490204,Abdelaziz,Waymire,Senior Staff,1985-07-24,62220
205568,Abdelghani,Aingworth,Staff,1985-09-22,72325
38267,Abdelghani,Armand,Senior Engineer,1997-03-25,53738
99804,Abdelghani,Benner,Senior Engineer,1988-01-13,58433
231243,Abdelghani,Birta,Senior Staff,1988-11-14,40000
109915,Abdelghani,Cannane,Senior Staff,1992-11-19,40025
286902,Abdelghani,Cannata,Engineer,1997-04-30,40000
434084,Abdelghani,Cappello,Senior Staff,1988-06-11,90879
240160,Abdelghani,Clouatre,Senior Engineer,1985-03-15,43851
453955,Abdelghani,Covnot,Engineer,1987-07-26,45463
260388,Abdelghani,Diderrich,Staff,1997-08-20,66616
94574,Abdelghani,Dulli,Staff,1985-09-09,41871
28770,Abdelghani,Farris,Senior Engineer,1988-05-28,49773
274996,Abdelghani,Fioravanti,Senior Engineer,1993-02-14,40000
422588,Abdelghani,Gimarc,Senior Engineer,1988-10-25,40000
105441,Abdelghani,Haldar,Senior Staff,1985-04-03,77975
416899,Abdelghani,Heijenga,Engineer,1989-05-26,42236
229415,Abdelghani,Ibel,Senior Engineer,1987-03-03,48782
17468,Abdelghani,Irland,Senior Staff,1996-06-13,59122
32439,Abdelghani,Karner,Staff,1996-04-12,64457
454863,Abdelghani,Krichel,Senior Engineer,1988-12-07,44471
244946,Abdelghani,Lubachevsky,Senior Engineer,1985-10-04,40000
54783,Abdelghani,Nannarelli,Senior Engineer,1986-01-08,53971
108053,Abdelghani,Nilsson,Senior Staff,1997-05-11,76316
419543,Abdelghani,Nitsch,Staff,1990-03-27,63547
290946,Abdelghani,Reutenauer,Staff,1990-11-30,72590
202446,Abdelghani,Rouquie,Engineer,1998-01-09,62097
258003,Abdelghani,Rubsam,Staff,1996-09-26,67536
488068,Abdelghani,Sabnani,Staff,1987-04-10,93207
283209,Abdelghani,Seiwald,Staff,1988-06-20,74913
228620,Abdelghani,Shackel,Technique Leader,1996-05-18,40000
243968,Abdelghani,Sidje,Engineer,1987-01-17,45970
429211,Abdelghani,Tchuente,Senior Engineer,1985-11-20,40000
79972,Abdelghani,Thummel,Staff,1991-06-04,40000
286921,Abdelghani,Turnbull,Engineer,1987-01-20,43422
496882,Abdelghani,Vural,Staff,1996-06-16,56434
264390,Abdelghani,Waeselynck,Staff,1986-03-15,91248
41674,Abdelghani,Yemenis,Engineer,1985-03-10,40000
231876,Abdelkader,Akazan,Staff,1995-02-14,40000
265903,Abdelkader,Angelov,Senior Staff,1988-05-27,49831
449955,Abdelkader,Baar,Staff,1991-04-24,42689
31594,Abdelkader,Birta,Senior Staff,1991-09-05,40000
418553,Abdelkader,Caine,Senior Engineer,1988-02-20,46156
452576,Abdelkader,Chvatal,Senior Staff,1985-09-17,48631
211510,Abdelkader,Demir,Senior Engineer,1988-08-10,40000
453759,Abdelkader,Desikan,Engineer,1985-11-28,80329
275126,Abdelkader,Dichev,Staff,1987-12-22,56868
406343,Abdelkader,Ecklund,Senior Engineer,1992-11-09,40000
418991,Abdelkader,Emden,Senior Engineer,1991-02-27,40000
237196,Abdelkader,England,Staff,1986-05-10,98658
272281,Abdelkader,Fairtlough,Senior Engineer,1987-02-24,40000
212799,Abdelkader,Falby,Senior Engineer,1995-06-14,40000
50234,Abdelkader,Felder,Engineer,1985-12-14,40000
417477,Abdelkader,Gadepally,Staff,1999-10-18,40000
68552,Abdelkader,Gronowski,Senior Staff,1997-03-13,40000
456793,Abdelkader,Haddadi,Senior Engineer,1986-01-22,40000
65045,Abdelkader,Koshiba,Senior Engineer,1985-08-08,44054
11295,Abdelkader,Lanzelotte,Staff,1985-05-15,66622
436372,Abdelkader,Leslie,Staff,1986-10-19,45073
69928,Abdelkader,Nourani,Staff,1995-04-10,40000
44616,Abdelkader,Pettis,Senior Staff,1988-08-31,40000
292618,Abdelkader,Salverda,Senior Engineer,1988-01-10,58484
77689,Abdelkader,Swan,Staff,1986-11-16,65233
93433,Abdelkader,Tchuente,Staff,1985-04-16,88427
492868,Abdelkader,Trumbly,Staff,1997-03-24,44250
90190,Abdelkader,Warwick,Engineer,1993-08-24,69815
236192,Abdelkader,Whitcomb,Senior Engineer,1988-11-13,49430
235197,Abdelwaheb,Baig,Senior Staff,1987-05-22,46322
402341,Abdelwaheb,Bail,Engineer,1985-02-04,57598
20450,Abdelwaheb,Binkley,Senior Engineer,1987-11-09,41934
434700,Abdelwaheb,Botman,Engineer,1987-01-15,40000
447816,Abdelwaheb,Buescher,Engineer,1995-12-08,58957
200108,Abdelwaheb,Chvatal,Engineer,1992-12-16,40000
479432,Abdelwaheb,England,Engineer,1985-06-25,65360
28366,Abdelwaheb,Falster,Senior Engineer,1985-08-19,62653
68424,Abdelwaheb,Fordan,Senior Staff,1987-05-28,40000
235326,Abdelwaheb,Gustavson,Senior Engineer,1987-01-08,66235
275710,Abdelwaheb,Hofmeyr,Staff,1994-07-20,51041
12222,Abdelwaheb,Holburn,Staff,1987-08-15,55840
442515,Abdelwaheb,Langford,Engineer,1989-04-05,40000
34391,Abdelwaheb,Marrakchi,Staff,1989-06-22,78470
451020,Abdelwaheb,Masada,Staff,1991-11-26,59794
450319,Abdelwaheb,Panienski,Engineer,1987-12-03,54555
288698,Abdelwaheb,Penz,Technique Leader,1988-01-21,40000
425011,Abdelwaheb,Prochazka,Engineer,1994-05-21,40000
232196,Abdelwaheb,Puppe,Engineer,1992-11-01,63176
232067,Abdelwaheb,Rosay,Engineer,1994-03-10,55385
409123,Abdelwaheb,Schaft,Senior Engineer,1987-09-01,56643
271385,Abdelwaheb,Sgarro,Staff,1988-05-29,80387
76878,Abdelwaheb,Turnbull,Staff,1995-07-30,64870
424591,Abdelwaheb,Yeung,Senior Staff,1994-07-17,79558
202438,Abdulah,Antonisse,Engineer,1985-03-25,44429
83725,Abdulah,Asmuth,Senior Engineer,1986-01-27,47926
267015,Abdulah,Bahk,Senior Engineer,1996-03-30,40000
233030,Abdulah,Businaro,Staff,1986-10-27,53542
477389,Abdulah,Claffy,Senior Staff,1997-02-19,99593
261213,Abdulah,Covnot,Senior Staff,1987-07-25,100122
243716,Abdulah,Denos,Technique Leader,1993-05-15,44261
281170,Abdulah,Dulli,Technique Leader,1994-10-09,48437
70782,Abdulah,Ebeling,Staff,2000-01-03,89767
445928,Abdulah,Ermel,Engineer,1986-09-22,48690
477778,Abdulah,Fadgyas,Staff,1989-10-25,79631
17260,Abdulah,Famili,Engineer,1987-05-18,40000
31058,Abdulah,Frezza,Senior Engineer,1988-02-15,41299
226878,Abdulah,Furedi,Staff,1997-09-09,86694
498450,Abdulah,Gammage,Senior Engineer,1991-08-30,54972
96562,Abdulah,Ghemri,Senior Staff,1987-01-08,51945
216893,Abdulah,Gill,Engineer,1999-05-24,45887
258473,Abdulah,Hellwagner,Assistant Engineer,1991-11-23,44989
285900,Abdulah,Heystek,Senior Staff,1985-05-07,45445
101524,Abdulah,Iisaku,Senior Engineer,1987-06-24,40000
277077,Abdulah,Jarecki,Senior Engineer,1986-03-02,53049
236125,Abdulah,Jumpertz,Engineer,1986-04-06,59417
467242,Abdulah,Kalefeld,Senior Staff,1985-10-27,40000
276971,Abdulah,Kropp,Senior Engineer,1992-12-06,40000
436525,Abdulah,Langford,Engineer,1988-07-15,56029
273429,Abdulah,Lovengreen,Engineer,1994-04-22,64049
255610,Abdulah,Paciorek,Engineer,1988-11-20,68475
212692,Abdulah,Pardalos,Senior Engineer,1995-01-03,47362
470681,Abdulah,Plump,Senior Engineer,1987-02-05,49719
420337,Abdulah,Ranum,Staff,1985-06-10,58648
50952,Abdulah,Rathonyi,Staff,1988-12-10,71063
489283,Abdulah,Ritzmann,Staff,1987-10-30,60007
408551,Abdulah,Schiper,Staff,1991-03-19,98178
36412,Abdulah,Senzako,Senior Staff,1989-06-20,61626
218919,Abdulah,Shackel,Senior Staff,1986-01-10,71270
208376,Abdulah,Solovay,Staff,1991-11-09,40000
81610,Abdulah,Stifter,Senior Engineer,1985-07-08,52616
293717,Abdulah,Tibblin,Senior Engineer,1987-12-24,40000
264932,Abdulah,Valiente,Staff,1995-07-30,40000
457801,Abdulla,Antonakopoulos,Senior Staff,1987-08-01,56267
200348,Abdulla,Back,Engineer,1985-05-13,56392
250528,Abdulla,Barvinok,Senior Staff,1988-09-19,41455
263713,Abdulla,Bashian,Senior Engineer,1987-06-20,59364
78441,Abdulla,Beetstra,Engineer,1985-11-03,40000
431769,Abdulla,Benaini,Senior Staff,1992-12-09,64519
498906,Abdulla,Bugrara,Senior Engineer,1987-05-13,63392
435350,Abdulla,Debuse,Senior Staff,1988-07-26,65081
16438,Abdulla,Demeyer,Senior Engineer,1991-04-09,52449
276019,Abdulla,Erev,Staff,1988-10-21,40000
26283,Abdulla,Feldmann,Engineer,1988-12-05,40000
203476,Abdulla,Flasterstein,Senior Staff,1985-03-22,40000
14237,Abdulla,Gerlach,Senior Engineer,1986-06-13,57219
91763,Abdulla,Gronowski,Engineer,1998-11-26,50283
421434,Abdulla,Haraldson,Engineer,1985-11-20,42984
286032,Abdulla,Hempstead,Senior Staff,1991-04-02,43757
292744,Abdulla,Ibel,Engineer,1988-02-24,47839
263140,Abdulla,Iisaku,Senior Staff,1992-01-06,76277
492366,Abdulla,Jumpertz,Engineer,1997-12-09,55470
452869,Abdulla,Klassen,Senior Engineer,1985-07-01,40000
418603,Abdulla,Kropf,Staff,1996-05-31,40886
260573,Abdulla,Lamparter,Senior Staff,1996-05-20,58846
448846,Abdulla,Lipner,Staff,1987-03-29,74508
22557,Abdulla,Luon,Senior Staff,1988-06-12,82178
414228,Abdulla,Maksimenko,Engineer,1987-02-20,40000
43317,Abdulla,Marshall,Engineer,1991-02-06,42381
89882,Abdulla,Murrill,Senior Engineer,1989-07-17,64346
253928,Abdulla,Oberman,Senior Engineer,1985-03-03,53683
36895,Abdulla,Ozeri,Engineer,1994-03-02,60484
433131,Abdulla,Papastamatiou,Staff,1986-05-13,40613
106552,Abdulla,Schaap,Senior Engineer,1987-01-21,49915
218653,Abdulla,Siochi,Senior Staff,1988-09-26,40000
221453,Abdulla,Staylopatis,Senior Engineer,1987-06-10,40000
461024,Abdulla,Stellhorn,Engineer,1987-01-08,76714
297987,Abdulla,Taubenfeld,Senior Engineer,1994-06-01,40000
443253,Abdulla,Tchuente,Staff,1990-10-25,81814
412324,Abdulla,Tokunaga,Staff,1986-06-20,40000
252764,Abdulla,Vendrig,Staff,1997-09-18,44498
283568,Abdulla,Zallocco,Senior Staff,1987-09-16,40000
217523,Abdulla,Zolotykh,Senior Engineer,1985-03-05,60944
446367,Achilleas,Ananiadou,Senior Staff,1989-02-21,80248
76897,Achilleas,Bamford,Engineer,1999-07-27,50411
19722,Achilleas,Boudaillier,Senior Staff,1986-12-22,41559
462506,Achilleas,Bugaenko,Engineer,1988-09-03,40000
207510,Achilleas,Czaja,Senior Engineer,1989-10-20,40000
245064,Achilleas,Dayana,Senior Engineer,1988-09-26,40000
218981,Achilleas,Demos,Technique Leader,1986-05-15,46101
415903,Achilleas,Eiron,Senior Engineer,1996-10-03,48685
424705,Achilleas,Falster,Staff,1987-12-02,82508
107924,Achilleas,Georgakopoulos,Senior Staff,1987-11-10,55206
276089,Achilleas,Goldhammer,Engineer,1986-10-03,54001
476618,Achilleas,Kawashimo,Staff,1985-12-16,40000
428151,Achilleas,Knightly,Staff,1998-06-05,40000
407671,Achilleas,Lanteri,Technique Leader,1990-07-20,57267
62750,Achilleas,Lemarechal,Senior Staff,1995-06-24,78766
270492,Achilleas,Leonhardt,Engineer,1999-08-24,52428
293501,Achilleas,Litecky,Engineer,1986-01-07,42327
256001,Achilleas,Luby,Staff,1986-03-21,55732
423165,Achilleas,Mahnke,Senior Engineer,1986-12-01,47669
457787,Achilleas,Manders,Senior Engineer,1991-06-01,54972
477017,Achilleas,Matteis,Engineer,1998-08-11,50163
28073,Achilleas,Meriste,Senior Staff,1989-04-08,65373
472984,Achilleas,Molberg,Senior Staff,1986-02-07,40000
462237,Achilleas,Mundy,Engineer,1992-05-12,48170
490531,Achilleas,Pavlopoulou,Senior Staff,1985-03-24,40000
422152,Achilleas,Peek,Engineer,1991-06-22,49780
269776,Achilleas,Pelc,Staff,1994-09-03,56149
231706,Achilleas,Pettey,Staff,1988-04-03,57246
409914,Achilleas,Ramsay,Engineer,1991-08-19,43849
237480,Achilleas,Ranai,Engineer,1987-04-21,40000
66668,Achilleas,Reeken,Staff,1988-05-30,40000
474980,Achilleas,Rindone,Staff,1987-09-13,42091
201976,Achilleas,Rosay,Engineer,1996-09-07,40000
473919,Achilleas,Scallan,Engineer,1987-07-04,40000
463351,Achilleas,Schaar,Senior Staff,1987-04-30,46932
432426,Achilleas,Szemeredi,Staff,1995-03-24,62465
423454,Achilleas,Vandervoorde,Engineer,1991-08-18,40000
236447,Achilleas,Vasanthakumar,Senior Staff,1988-01-21,59038
403798,Achilleas,Wissmann,Senior Engineer,1994-05-28,40000
464367,Achilleas,Zhang,Technique Leader,1997-11-26,40000
67634,Adam,Alvarado,Engineer,2000-01-21,60307
455461,Adam,Angel,Staff,1994-08-21,83563
289878,Adam,Beznosov,Senior Engineer,1985-10-02,51966
233022,Adam,Bisiani,Senior Engineer,1988-05-28,65738
490946,Adam,Chinin,Engineer,1990-07-01,47163
243743,Adam,Cyre,Engineer,1986-08-24,40000
35960,Adam,Danlos,Staff,1986-11-16,52523
208525,Adam,DiGiano,Senior Staff,1989-06-11,79946
439678,Adam,Encarnacion,Senior Engineer,1989-07-21,58283
97225,Adam,Erez,Technique Leader,1988-05-21,40000
415367,Adam,Esposito,Senior Engineer,1992-03-25,49243
233681,Adam,Fontet,Senior Engineer,1988-06-13,40000
226884,Adam,Fortenbacher,Assistant Engineer,1997-05-19,40000
265814,Adam,Garrabrants,Staff,1991-04-22,40000
418934,Adam,Gurbaxani,Senior Staff,1985-11-30,51582
455949,Adam,Harllee,Engineer,1986-12-06,48675
427795,Adam,Hofting,Senior Staff,1986-11-05,88564
86539,Adam,Junet,Senior Staff,1988-10-06,40000
239859,Adam,Keirsey,Senior Staff,1988-10-24,75225
43241,Adam,Kisuki,Senior Staff,1995-04-20,71985
214307,Adam,Lamma,Engineer,1987-01-25,40000
253863,Adam,Maierhofer,Engineer,1986-12-15,48209
265830,Adam,Marchegay,Senior Engineer,1988-07-11,40000
60842,Adam,Menhoudj,Staff,1991-04-26,71560
465053,Adam,Navazio,Senior Staff,1992-07-07,47193
497009,Adam,Panienski,Engineer,1988-07-23,64763
425992,Adam,Perz,Engineer,1996-05-26,60063
482523,Adam,Plessier,Technique Leader,1989-11-11,49571
430016,Adam,Randi,Senior Staff,1994-07-08,45009
15278,Adam,Rohrbach,Staff,1987-10-29,40000
272727,Adam,Shiratori,Technique Leader,1985-03-25,40000
446319,Adam,Siepmann,Senior Staff,1985-02-10,40000
475886,Adam,Vecchio,Senior Staff,1992-01-12,86937
249174,Adam,Vernadat,Senior Engineer,1985-10-11,89375
459363,Adam,Walston,Engineer,1988-02-04,40000
270921,Adam,Wilfing,Engineer,1995-09-06,53574
17925,Adamantios,Baezner,Engineer,1987-03-09,47958
480845,Adamantios,Beidas,Staff,1986-12-03,80384
456183,Adamantios,Bennis,Engineer,1988-07-09,40000
24446,Adamantios,Camarinopoulos,Staff,1996-05-18,40000
292322,Adamantios,Colorni,Staff,1985-03-03,98832
75688,Adamantios,Crooks,Staff,1998-08-22,58658
225363,Adamantios,Cullers,Senior Staff,1986-01-05,40000
493997,Adamantios,Emiris,Staff,1995-06-29,43338
415807,Adamantios,Encarnacion,Staff,1992-09-22,59863
36197,Adamantios,Eppinger,Senior Staff,1990-10-06,40000
106044,Adamantios,Jeong,Senior Staff,1991-04-12,40000
402942,Adamantios,Ligten,Senior Staff,1989-08-18,91981
236555,Adamantios,Luga,Staff,1990-08-16,61592
486674,Adamantios,Luke,Senior Engineer,1994-02-21,40000
428732,Adamantios,Malabarba,Senior Engineer,1988-04-20,47588
107296,Adamantios,Mawatari,Engineer,1987-06-27,55069
452527,Adamantios,Nourani,Staff,1985-09-22,55929
29527,Adamantios,Oaver,Senior Staff,1986-11-06,58827
494692,Adamantios,Pehl,Staff,1987-01-06,40000
297201,Adamantios,Rahier,Senior Engineer,1988-09-24,44879
226919,Adamantios,Rehfuss,Senior Staff,1986-09-19,47422
100884,Adamantios,Rousseau,Senior Staff,1995-12-15,44880
290884,Adamantios,Senzako,Engineer,1987-08-10,40000
402585,Adamantios,Swick,Senior Staff,1991-04-12,45558
266735,Adamantios,Thambidurai,Staff,1987-08-30,40721
231109,Adamantios,Vickson,Assistant Engineer,1993-01-28,44965
104876,Adamantios,Zucker,Senior Engineer,1988-03-19,61599
488018,Adamantios,Zweizig,Senior Staff,1988-04-20,75933
215776,Adas,Ashish,Engineer,1988-03-10,43918
45743,Adas,Baaleh,Senior Staff,1995-03-15,65720
481694,Adas,Baumann,Engineer,1987-05-31,40000
286412,Adas,Bresenham,Senior Engineer,1993-05-10,40000
251092,Adas,Chenney,Senior Engineer,1985-03-15,59201
410418,Adas,Dahlbom,Senior Engineer,1990-08-21,60695
213786,Adas,Deyuan,Senior Staff,1991-01-14,84123
100974,Adas,Ebeling,Engineer,1985-10-25,40000
452626,Adas,Ertl,Senior Engineer,1987-07-05,40000
491379,Adas,Ferretti,Senior Engineer,1990-02-20,40000
415574,Adas,Gimbel,Senior Engineer,1987-05-08,40164
406950,Adas,Heering,Senior Staff,1992-01-25,66766
14167,Adas,Hertweck,Senior Engineer,1985-12-01,40000
285065,Adas,Hitomi,Senior Engineer,1985-08-08,48100
498613,Adas,Hofmeyr,Staff,1986-01-02,91907
272567,Adas,Klerer,Engineer,1997-07-02,51744
108716,Adas,Leivant,Engineer,1998-02-05,56037
101134,Adas,Ligten,Staff,1994-11-17,40000
471239,Adas,Marletta,Senior Staff,1998-11-06,40000
296770,Adas,Miyakawa,Engineer,1985-11-15,45033
294978,Adas,Pagter,Senior Engineer,1987-09-04,66099
22917,Adas,Pfau,Senior Engineer,1988-11-17,47460
496302,Adas,Plesums,Engineer,1988-07-03,42309
413928,Adas,Plump,Senior Engineer,1988-09-29,47165
480060,Adas,Radwan,Engineer,1986-12-24,45665
433020,Adas,Rahimi,Engineer,1998-09-10,40000
46960,Adas,Ranze,Engineer,1987-06-27,40000
218061,Adas,Rusterholz,Engineer,1987-12-04,51836
39900,Adas,Schach,Technique Leader,1996-07-14,40000
471815,Adas,Sidje,Senior Engineer,1991-01-18,45408
462559,Adas,Swift,Senior Engineer,1991-11-16,62223
65272,Adas,Tibblin,Assistant Engineer,1998-03-30,48594
39868,Adas,Tomescu,Senior Engineer,1986-04-18,42251
59734,Adas,Ulupinar,Senior Engineer,1987-12-26,50404
447213,Adas,Warwick,Senior Engineer,1986-12-31,94124
429680,Adas,Weiland,Senior Engineer,1985-09-16,40000
85489,Adas,Zwicker,Senior Staff,1988-09-12,63977
488928,Adel,Bazelow,Senior Staff,1988-01-26,58425
445314,Adel,Caine,Senior Engineer,1996-11-15,50639
271148,Adel,Czaja,Assistant Engineer,1999-05-31,40000
423916,Adel,Ecklund,Senior Staff,1986-04-13,40000
86906,Adel,Fiutem,Senior Engineer,1985-06-07,40433
435590,Adel,Hardjono,Senior Engineer,1997-12-26,40302
80536,Adel,Hebden,Engineer,1987-01-09,84329
221990,Adel,Hiyoshi,Engineer,1990-12-30,54446
73017,Adel,Iisaka,Engineer,1996-01-02,59529
109852,Adel,Kusakabe,Senior Staff,1991-07-10,77482
294288,Adel,Lyonns,Technique Leader,1997-07-04,40000
264717,Adel,McConalogue,Engineer,1993-01-05,40000
248019,Adel,McDermid,Staff,1994-02-25,44341
12173,Adel,Nanard,Senior Engineer,1998-09-20,58321
246467,Adel,Nations,Senior Engineer,1985-09-20,56408
291762,Adel,Paludetto,Senior Engineer,1985-11-30,40000
29507,Adel,Panwar,Senior Engineer,1988-10-05,58624
29659,Adel,Pokrovskii,Senior Staff,1985-06-06,45464
97918,Adel,Pollacia,Staff,1987-09-01,66931
48185,Adel,Pusterhofer,Technique Leader,1988-02-09,40000
37814,Adel,Salvesen,Senior Staff,1986-09-12,86781
496884,Adel,Schueller,Engineer,1995-09-12,40000
57377,Adel,Slobodova,Engineer,1995-08-15,40000
59577,Adel,Swiler,Staff,1986-11-27,40000
67872,Adel,Toyoshima,Staff,1990-02-11,61391
103558,Adel,Unni,Staff,1987-12-25,68004
490547,Adel,Winter,Senior Engineer,1985-06-30,40148
54407,Adhemar,Attimonelli,Staff,1985-09-24,75611
483667,Adhemar,Baik,Senior Engineer,1988-07-24,40000
22953,Adhemar,Bashian,Senior Staff,1994-12-26,43331
207331,Adhemar,Berstel,Technique Leader,1987-06-25,41954
478702,Adhemar,Brobst,Staff,1988-10-03,40000
481752,Adhemar,Copas,Senior Staff,1986-09-23,62455
294865,Adhemar,Dalphin,Senior Staff,1988-09-26,40809
208436,Adhemar,Denny,Senior Staff,1987-08-26,63516
92637,Adhemar,Denos,Engineer,1991-03-26,57104
50953,Adhemar,Fiebach,Senior Engineer,1992-07-04,65699
230180,Adhemar,Kamble,Engineer,1985-09-03,64416
292494,Adhemar,Kinley,Assistant Engineer,1986-11-01,40000
205779,Adhemar,Kuhnemann,Senior Staff,1990-01-04,72876
242601,Adhemar,Kumaresan,Engineer,1986-12-23,53736
490104,Adhemar,Lowrie,Staff,1998-02-26,78732
263202,Adhemar,Lyonns,Senior Staff,1992-09-14,40000
487422,Adhemar,Maksimenko,Technique Leader,1988-01-21,81540
434327,Adhemar,Middleton,Engineer,1998-06-09,51612
108251,Adhemar,Muhling,Engineer,1998-05-27,53380
417576,Adhemar,Murtagh,Staff,1991-06-26,84269
44954,Adhemar,Nitta,Senior Engineer,1995-06-25,40000
28281,Adhemar,Oxenboll,Staff,1992-12-05,101359
18020,Adhemar,Pelz,Staff,1986-03-31,40000
106985,Adhemar,Pfau,Senior Engineer,1986-04-18,40000
426606,Adhemar,Range,Staff,1991-05-20,57683
46470,Adhemar,Rassart,Technique Leader,1987-06-18,40000
415424,Adhemar,Savasere,Senior Staff,1986-08-15,81475
220419,Adhemar,Seuren,Senior Engineer,1987-01-29,40000
289389,Adhemar,Suomi,Staff,1985-03-26,75763
10608,Adhemar,Talmor,Senior Engineer,1986-05-25,40000
417545,Adhemar,Trystram,Senior Engineer,1986-04-04,40000
489365,Adhemar,Validov,Engineer,1986-06-05,58626
431078,Adib,Ananiadou,Senior Staff,1987-07-01,73990
63487,Adib,Badr,Senior Engineer,1994-05-22,51806
76760,Adib,Bale,Assistant Engineer,1993-02-04,48303
432402,Adib,Basagni,Engineer,1987-09-22,43555
50102,Adib,Boudaillier,Engineer,1999-10-21,40000
17674,Adib,Braccini,Senior Engineer,1986-03-19,43044
64490,Adib,Bratten,Senior Staff,1986-09-16,51983
461672,Adib,Cardazo,Senior Engineer,1992-09-04,40000
63638,Adib,Chepyzhov,Staff,1986-11-10,40000
478037,Adib,Halevi,Engineer,1986-03-05,52879
231959,Adib,Hatcliff,Senior Staff,1995-05-07,66327
487280,Adib,Hitomi,Senior Engineer,1990-01-14,40000
216230,Adib,Kabayashi,Technique Leader,1997-03-19,54257
